song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Truly,Lionel Richie,1,1,18,10
Gloria,Laura Branigan,2,2,36,15
Mickey,Toni Basil,1,1,27,14
Maneater,Daryl Hall  John Oates,1,1,23,16
Heartlight,Neil Diamond,5,5,19,7
Up Where We Belong,Joe Cocker And Jennifer Warnes,1,6,23,8
Steppin' Out,Joe Jackson,6,6,27,12
The Girl Is Mine,Michael Jackson And Paul McCartney,2,2,18,14
Dirty Laundry,Don Henley,3,3,19,14
Muscles,Diana Ross,10,10,17,8
Rock This Town,Stray Cats,9,9,21,10
Sexual Healing,Marvin Gaye,3,3,21,16
It's Raining Again,Supertramp Featuring Roger Hodgson,11,11,13,8
Shadows Of The Night,Pat Benatar,13,13,16,9
Nobody,Sylvia,15,15,20,6
Heart Attack,Olivia Newton-John,3,16,21,8
Heartbreaker,Dionne Warwick,10,10,22,14
Southern Cross,"Crosby, Stills & Nash",18,18,17,6
Down Under,Men at Work,1,1,25,21
Pressure,Billy Joel,20,20,17,7
The Look Of Love (Part One),ABC,18,18,25,13
Love Me Tomorrow,Chicago,22,22,15,5
Missing You,Dan Fogelberg,23,23,16,8
You And I,Eddie Rabbitt With Crystal Gayle,7,7,29,21
Rock The Casbah,The Clash,8,8,24,15
I.g.y. (what A Beautiful World),Donald Fagen,26,26,14,6
Africa,Toto,1,1,21,16
You Can't Hurry Love,Phil Collins,10,10,21,17
Be My Lady,Jefferson Starship,28,28,16,8
I'm So Excited,The Pointer Sisters,30,30,16,5
"Baby, Come To Me",Patti Austin A Duet With James Ingram,1,1,32,21
On The Wings Of Love,Jeffrey Osborne,29,29,18,8
Hand To Hold On To,John Cougar,19,19,18,14
The Other Guy,Little River Band,11,11,18,16
Everybody Wants You,Billy Squier,32,32,17,8
A Penny For Your Thoughts,Tavares,33,33,21,10
What About Me,Moving Pictures,29,29,26,15
You Got Lucky,Tom Petty And The Heartbreakers,20,20,18,15
Shock The Monkey,Peter Gabriel,29,29,18,12
"Let's Go Dancin' (ooh La, La, La)",Kool & The Gang,30,30,15,10
Whatcha Gonna Do,Chilliwack,41,41,13,7
Destination Unknown,Missing Persons,42,42,14,5
I Do,The J. Geils Band,24,24,14,12
American Heartbeat,Survivor,17,44,16,6
Goody Two Shoes,Adam Ant,12,12,21,18
Used To Be,Charlene & Stevie Wonder,46,46,11,6
Heart To Heart,Kenny Loggins,15,15,17,16
Does It Make You Remember,Kim Carnes,36,36,13,9
1999,Prince,12,12,27,22
Two Less Lonely People In The World,Air Supply,38,38,14,11
Love In Store,Fleetwood Mac,22,22,14,13
Who Can It Be Now?,Men at Work,1,52,27,6
Wake Up My Love,George Harrison,53,53,5,3
I Gotta Try,Michael McDonald,44,44,11,8
Bad Boy/Having A Party,Luther Vandross,55,55,12,7
"(you're So Square) Baby, I Don't Care",Joni Mitchell,47,47,9,7
Theme From Dynasty,Bill Conti,52,52,9,5
Space Age Love Song,A Flock Of Seagulls,30,30,18,15
Heart Of The Night,Juice Newton,25,25,16,15
Forever Mine,The Motels,60,60,8,5
Jack & Diane,John Cougar,1,61,22,3
Memory,Barry Manilow,39,39,14,12
Allentown,Billy Joel,17,17,22,21
Right Before Your Eyes,America,45,45,13,12
Goodbye To You,Scandal Featuring Patty Smyth,65,65,11,8
I Know There's Something Going On,Frida,13,13,29,25
You've Got Another Thing Comin',Judas Priest,67,67,7,3
You Don't Want Me Anymore,Steel Breeze,16,68,20,6
Put It In A Magazine,Sonny Charles,40,40,14,11
Bad Boy,Ray Parker Jr.,35,35,12,12
Psychobabble,The Alan Parsons Project,57,57,10,9
Nowhere To Run,Santana,66,66,8,7
Twilight Zone,Golden Earring,10,10,27,26
Pledge Pin,Robert Plant,74,74,5,2
You Can Do Magic,America,8,75,20,2
I Keep Forgettin' (Every Time You're Near),Michael McDonald,4,76,19,2
A Love Song,Kenny Rogers,47,77,10,3
The Elvis Medley,Elvis Presley,71,71,7,6
Eye In The Sky,The Alan Parsons Project,3,79,25,3
Do You Really Want To Hurt Me,Culture Club,2,2,25,25
Get Closer,Linda Ronstadt,29,81,12,3
Cross My Heart,Lee Ritenour,69,69,7,7
I Wouldn't Beg For Water,Sheena Easton,64,83,7,2
After I Cry Tonight,Lanier & Co.,48,48,13,13
Painted Picture,Commodores,70,70,6,6
On The Loose,Saga,26,26,18,18
Valerie,Steve Winwood,70,87,4,1
The One You Love,Glenn Frey,15,88,17,2
New World Man,Rush,21,89,12,1
Love Come Down,Evelyn King,17,90,16,2
Break It To Me Gently,Juice Newton,11,91,17,2
Stand Or Fall,The Fixx,76,91,8,3
Gypsy,Fleetwood Mac,12,93,14,1
Athena,The Who,28,94,14,1
State Of Independence,Donna Summer,41,95,10,1
Somebody's Baby,Jackson Browne,7,96,19,1
Cool Magic,The Steve Miller Band,57,97,8,1
Shakin',Eddie Money,63,98,9,1
