song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
No One,Alicia Keys,1,1,39,29
Kiss Kiss,Chris Brown Featuring T-Pain,1,2,26,17
Apologize,Timbaland Featuring OneRepublic,2,2,47,32
Low,Flo Rida Featuring T-Pain,1,1,40,37
Bubbly,Colbie Caillat,5,5,47,27
Crank That (Soulja Boy),Soulja Boy Tell'em,1,5,32,14
Good Life,Kanye West Featuring T-Pain,7,7,21,12
Clumsy,Fergie,5,5,25,20
Cyclone,Baby Bash Featuring T-Pain,7,9,30,14
Stronger,Kanye West,1,10,27,11
Paralyzer,Finger Eleven,6,6,50,27
Hate That I Love You,Rihanna Featuring Ne-Yo,7,7,26,15
The Way I Are,Timbaland Featuring Keri Hilson,3,13,38,14
Bed,J. Holiday,5,14,23,6
How Far We've Come,Matchbox Twenty,11,15,22,11
Tattoo,Jordin Sparks,8,8,31,24
Big Girls Don't Cry,Fergie,1,17,48,18
Shawty Is A 10,The-Dream,17,18,20,10
Over You,Daughtry,18,18,25,11
Who Knew,P!nk,9,20,36,13
Ayo Technology,50 Cent Featuring Justin Timberlake & Timbaland,5,21,20,6
Duffle Bag Boy,Playaz Circle Featuring Lil Wayne,15,15,20,12
So Small,Carrie Underwood,17,23,20,7
I'm So Hood,"DJ Khaled Featuring T-Pain, Trick Daddy, Rick Ross & Plies",19,22,20,11
Wake Up Call,Maroon 5,19,25,22,8
Until The End Of Time,Justin Timberlake Duet With Beyonce,17,17,25,6
Love Like This,Natasha Bedingfield Featuring Sean Kingston,11,11,20,16
Our Song,Taylor Swift,16,16,36,29
Gimme More,Britney Spears,3,29,20,10
Can't Help But Wait,Trey Songz,14,14,24,16
Rockstar,Nickelback,6,23,49,9
Hypnotized,Plies Featuring Akon,14,14,23,16
Don't Blink,Kenny Chesney,29,33,20,10
Baby Don't Go,Fabolous Featuring Jermaine Dupri,23,34,20,9
I Don't Wanna Be In Love (Dance Floor Anthem),Good Charlotte,25,25,21,11
Stay,Sugarland,32,35,20,15
Soulja Girl,Soulja Boy Tell'em Featuring I-15,32,32,15,9
Into The Night,Santana Featuring Chad Kroeger,26,26,21,15
Hey There Delilah,Plain White T's,1,39,35,2
My Drink N' My 2 Step,Cassidy Featuring Swizz Beatz,33,40,20,11
Get Buck In Here,"DJ Felli Fel Featuring Diddy, Akon, Ludacris & Lil Jon",41,41,18,17
Take You There,Sean Kingston,7,7,25,23
Just Fine,Mary J. Blige,22,22,22,18
Sweetest Girl (Dollar Bill),"Wyclef Jean Featuring Akon, Lil Wayne & Niia",12,12,28,19
Like You'll Never See Me Again,Alicia Keys,12,12,24,23
Let It Go,Keyshia Cole Featuring Missy Elliott & Lil Kim,7,46,23,2
Before He Cheats,Carrie Underwood,8,47,64,1
Misery Business,Paramore,26,26,30,13
Shoulda Let You Go,Keyshia Cole Introducing Amina,41,41,20,13
Umbrella,Rihanna Featuring Jay-Z,1,44,33,2
How 'Bout Them Cowgirls,George Strait,49,49,20,10
Free And Easy (Down The Road I Go),Dierks Bentley,46,52,20,5
Firecracker,Josh Turner,50,51,20,11
Taking Chances,Celine Dion,54,54,7,7
More Than A Memory,Garth Brooks,53,53,16,5
Livin' Our Love Song,Jason Michael Carroll,52,52,17,6
Fall,Clay Walker,55,55,18,8
The Pretender,Foo Fighters,37,55,20,6
Hood Figga,Gorilla Zoe,38,59,20,4
LoveStoned,Justin Timberlake,17,60,20,1
Take Me There,Rascal Flatts,19,61,20,4
Girlfriend,Bow Wow & Omarion,33,33,15,13
Music Is My Hot Hot Sex,CSS,63,63,3,2
Roc Boys (And The Winner Is)...,Jay-Z,63,63,7,5
"Ready, Set, Don't Go",Billy Ray Cyrus With Miley Cyrus,37,37,23,15
